agent_category,state,n_trees_tpa
abiotic,AK,1806.7466
abiotic,AL,3863.5855
abiotic,AR,114.3429
abiotic,AZ,469.4076
abiotic,CA,633.3306
abiotic,CO,914.7430
abiotic,CT,84.2526
abiotic,DE,12.0361
abiotic,FL,84.2526
abiotic,GA,7203.6011
abiotic,HI,369.3290
abiotic,IA,541.6241
abiotic,ID,276.8301
abiotic,IL,1209.6272
abiotic,IN,78.2346
abiotic,KS,84.2526
abiotic,KY,619.8587
abiotic,LA,818.4543
abiotic,MA,132.3970
abiotic,MD,6.0180
abiotic,ME,60.1805
abiotic,MI,589.7685
abiotic,MN,1871.6123
abiotic,MO,3057.1674
abiotic,MS,42.1263
abiotic,MT,668.0031
abiotic,NC,2431.2906
abiotic,ND,6.0180
abiotic,NE,30.0902
abiotic,NH,42.1263
abiotic,NJ,84.2526
abiotic,NM,1077.2302
abiotic,NV,306.9203
abiotic,NY,324.9745
abiotic,OH,800.4001
abiotic,OK,427.2813
abiotic,OR,3362.7107
abiotic,PA,1239.7175
abiotic,SC,463.3895
abiotic,SD,36.1083
abiotic,TN,2846.5358
abiotic,TX,655.9670
abiotic,UT,776.3279
abiotic,VA,866.5986
abiotic,VT,96.2887
abiotic,WA,1751.2903
abiotic,WI,571.7144
abiotic,WV,649.9490
abiotic,WY,270.8121
animal,AK,3173.3636
animal,AL,96.2887
animal,AR,234.7038
animal,AZ,264.7940
animal,CA,1611.0492
animal,CO,1005.0137
animal,CT,589.7685
animal,DE,156.4692
animal,FL,174.5233
animal,GA,300.9023
animal,HI,1478.5028
animal,IA,2984.9508
animal,ID,734.2016
animal,IL,4712.1300
animal,IN,1817.4499
animal,KS,3051.1493
animal,KY,90.2707
animal,LA,138.4151
animal,MA,1143.4287
animal,MD,854.5625
animal,ME,16567.6806
animal,MI,20262.7609
animal,MN,73715.0455
animal,MO,17199.5755
animal,MS,655.9670
animal,MT,1065.1941
animal,NC,204.6136
animal,ND,1101.3024
animal,NE,932.7971
animal,NH,5187.5557
animal,NJ,890.6708
animal,NM,643.9309
animal,NV,198.5955
animal,NY,10158.4616
animal,OH,4080.2352
animal,OK,403.2091
animal,OR,6765.4308
animal,PA,12228.6695
animal,RI,168.5053
animal,SC,48.1444
animal,SD,5109.3211
animal,TN,469.4076
animal,TX,264.7940
animal,UT,391.1730
animal,VA,1161.4829
animal,VT,4146.4337
animal,WA,7572.3078
animal,WI,33472.3719
animal,WV,5235.7000
animal,WY,300.9023
bark beetles,AK,3582.5907
bark beetles,AL,174.5233
bark beetles,AR,12.0361
bark beetles,AZ,60.1805
bark beetles,CA,6.0180
bark beetles,CO,18914.7186
bark beetles,FL,24.0722
bark beetles,GA,168.5053
bark beetles,ID,2052.1537
bark beetles,LA,12.0361
bark beetles,MS,144.4331
bark beetles,MT,12764.2756
bark beetles,NE,162.4872
bark beetles,NM,463.3895
bark beetles,NV,24.0722
bark beetles,OR,0.9992
bark beetles,SC,12.0361
bark beetles,SD,12.0361
bark beetles,TN,96.2887
bark beetles,UT,577.7324
bark beetles,VA,12.0361
bark beetles,WA,51.1419
bark beetles,WY,2996.9869
boring insects,AR,6.0180
boring insects,CT,216.6497
boring insects,DE,66.1985
boring insects,GA,18.0541
boring insects,IA,782.3460
boring insects,IL,1155.4648
boring insects,IN,2503.5071
boring insects,KS,96.2887
boring insects,KY,1185.5551
boring insects,MA,216.6497
boring insects,MD,84.2526
boring insects,ME,12.0361
boring insects,MI,6674.0130
boring insects,MN,842.5264
boring insects,MO,926.7791
boring insects,NC,24.0722
boring insects,NE,96.2887
boring insects,NH,144.4331
boring insects,NJ,674.0212
boring insects,NY,6902.6988
boring insects,OH,4399.1916
boring insects,PA,3237.7087
boring insects,SC,6.0180
boring insects,SD,6.0180
boring insects,TN,90.2707
boring insects,VA,854.5625
boring insects,VT,72.2166
boring insects,WI,7444.3229
boring insects,WV,2040.1176
canker/rust,AL,39255.7141
canker/rust,AR,15027.0609
canker/rust,CA,1235.5031
canker/rust,CT,902.7069
canker/rust,FL,25004.9811
canker/rust,GA,99839.3831
canker/rust,IA,6.0180
canker/rust,IN,36.1083
canker/rust,KY,186.5594
canker/rust,LA,15201.5842
canker/rust,MA,3923.7660
canker/rust,MD,6.0180
