lat,lon,category,label
37.9920,-90.9644,insects,Boring insects
35.1919,-91.2673,disease,Stem decay
47.1333,-93.2615,animal,Wild animals
38.2137,-79.7474,disease,Stem decay
36.9151,-83.8153,disease,Stem decay
41.3963,-92.2681,other,Other damages
42.5029,-123.9637,abiotic,Abiotic damage
45.9469,-92.2047,animal,Wild animals
32.3150,-89.6502,disease,Stem decay
35.1426,-84.5959,disease,Root/butt diseases
36.1795,-92.6514,disease,Stem decay
31.0036,-90.9695,disease,Stem decay
32.9432,-79.8281,canker/rust,Fusiform rust
39.3157,-120.9096,disease,Stem decay
30.1048,-92.8709,disease,Stem decay
44.7856,-75.3421,disease,Stem decay
48.7458,-122.6283,disease,Stem decay
34.9430,-92.1466,disease,Stem decay
40.6503,-121.1925,disease,Cankers (non-rust)
46.6250,-92.4121,animal,Wild animals
46.3402,-87.5021,animal,Wild animals
36.4836,-91.0928,disease,Stem decay
35.6745,-95.3005,disease,Stem decay
37.8080,-82.5157,disease,Stem decay
48.3317,-115.1835,disease,Foliage diseases
42.1454,-79.5632,disease,Stem decay
37.3441,-81.5015,disease,Stem decay
42.7407,-77.6562,disease,Stem decay
31.5942,-86.0963,disease,Stem decay
35.3022,-87.1449,disease,Stem decay
30.4996,-95.5435,disease,Stem decay
31.8395,-90.1709,disease,Stem decay
32.5040,-94.9174,disease,Stem decay
44.9025,-70.0061,disease,Stem decay
31.6770,-88.4998,disease,Stem decay
34.6803,-95.2862,disease,Stem decay
30.4100,-91.4132,disease,Stem decay
35.8376,-76.8420,disease,Stem decay
43.5928,-75.0960,disease,Stem decay
44.5824,-84.0798,disease,Cankers (non-rust)
47.7688,-122.9990,disease,Stem decay
36.8581,-81.4962,disease,Stem decay
43.3754,-75.4613,disease,Stem decay
32.1224,-83.1013,disease,Root/butt diseases
32.4177,-110.6883,fire,Fire
46.2895,-69.2420,disease,Stem decay
38.4273,-81.3682,disease,Stem decay
29.5179,-98.9393,disease,Stem decay
44.9820,-84.8258,other,Other damages
37.6391,-77.3248,disease,Stem decay
47.7595,-90.6957,animal,Wild animals
34.8407,-84.5405,disease,Root/butt diseases
48.0409,-92.0068,disease,General diseases
33.1290,-105.5384,disease,Stem decay
45.9646,-87.3829,disease,Stem decay
35.2645,-96.9716,disease,Stem decay
44.7344,-112.8936,defoliators,Western spruce budworm
35.6782,-93.5300,disease,Root/butt diseases
38.6911,-82.6857,disease,Stem decay
31.7207,-88.8968,disease,Stem decay
41.6642,-83.6491,disease,Stem decay
46.3720,-89.3923,other,Other damages
37.5260,-86.1285,disease,Stem decay
35.3555,-95.9430,disease,Stem decay
44.7936,-83.3713,boring insects,Emerald ash borer
48.8880,-116.2584,disease,Cankers (non-rust)
43.9804,-85.2731,other,Other damages
44.9705,-115.8594,defoliators,Western spruce budworm
32.1406,-82.8560,disease,Stem decay
47.2343,-93.9372,disease,Stem decay
41.4252,-93.7129,disease,Stem decay
48.1881,-93.4795,disease,Stem decay
35.6745,-93.2714,disease,Root/butt diseases
37.1003,-108.0176,disease,Stem decay
30.9443,-94.1754,disease,Stem decay
47.3140,-69.1559,disease,Stem decay
36.8526,-76.4178,disease,Stem decay
38.3981,-105.6927,disease,Broom rusts
44.5066,-70.1057,disease,Stem decay
44.4550,-72.5890,disease,Stem decay
41.1540,-93.6813,human,Human activities
32.8652,-83.9185,disease,Stem decay
32.4902,-89.2991,disease,Root/butt diseases
36.6951,-77.4053,canker/rust,Fusiform rust
35.3245,-106.4334,disease,Decline complexes/dieback/wilts
44.7456,-118.3740,insects,Sucking insects (adelgids/scales/aphids)
39.3224,-75.2088,disease,Stem decay
39.5554,-85.3506,disease,Stem decay
40.6005,-109.9421,disease,Cankers (non-rust)
36.7505,-95.5306,disease,Stem decay
31.4336,-90.9904,disease,Stem decay
44.4983,-73.2236,disease,Stem decay
33.7066,-91.7383,disease,Stem decay
36.2870,-81.0265,disease,Root/butt diseases
39.9704,-79.9191,insects,Boring insects
40.3295,-94.6664,disease,Stem decay
48.5498,-94.9535,disease,Stem decay
42.6943,-76.4504,disease,Stem decay
41.6044,-73.9116,disease,Stem decay
35.9179,-93.2100,disease,Stem decay
34.7712,-83.2077,disease,Root/butt diseases
40.3867,-77.7890,defoliators,Gypsy moth
31.8038,-83.8453,disease,Root/butt diseases
43.0201,-73.0961,disease,Stem decay
33.7857,-82.7508,canker/rust,Fusiform rust
31.8607,-92.5473,disease,Stem decay
33.8513,-109.0282,fire,Fire
47.0203,-68.7769,disease,Stem decay
36.7742,-111.7805,unknown,Unknown
43.9421,-71.4236,disease,Stem decay
37.9337,-85.8763,disease,Root/butt diseases
31.4566,-83.4384,canker/rust,Fusiform rust
32.7347,-83.2256,disease,Stem decay
37.0812,-93.5742,disease,Stem decay
34.6611,-86.8181,disease,Stem decay
44.8077,-74.0649,disease,Stem decay
37.4213,-89.5021,disease,Stem decay
37.9281,-85.8206,disease,Root/butt diseases
36.9175,-90.5451,insects,Boring insects
45.9505,-115.2654,disease,Cankers (non-rust)
32.8384,-93.9200,disease,Stem decay
33.3826,-95.6612,disease,Stem decay
35.7701,-91.7318,disease,Stem decay
37.0283,-86.5168,disease,Root/butt diseases
43.3909,-70.4839,disease,Stem decay
31.8097,-87.5586,disease,Stem decay
48.1868,-92.3635,disease,Stem decay
37.1183,-80.9773,disease,Stem decay
34.8562,-84.6872,disease,Stem decay
33.1804,-80.4543,disease,Stem decay
42.7793,-78.3197,defoliators,Gypsy moth
33.0514,-95.7346,disease,Stem decay
35.3454,-86.7881,disease,Root/butt diseases
30.5868,-81.8412,canker/rust,Fusiform rust
44.9412,-88.6572,disease,Stem decay
47.0711,-92.0264,disease,Stem decay
37.6229,-82.6148,disease,Root/butt diseases
48.9492,-114.3353,disease,Stem decay
41.0538,-82.8040,disease,Stem decay
41.2097,-92.7742,insects,Boring insects
32.0771,-95.9456,disease,Root/butt diseases
36.4161,-84.7215,disease,Stem decay
36.9253,-91.3507,disease,Stem decay
