lat,lon,category,label
37.3896,-90.1090,insects,Insect damage
36.9552,-83.3589,weather,Ice
46.4267,-69.4732,animal,Deer/ungulate
34.7381,-119.4358,fire,Crown fire
41.8395,-122.8774,fire,Ground fire
33.2827,-82.6197,fire,Ground fire
35.8192,-81.9919,fire,Fire damage (general)
38.6077,-85.8362,insects,Insect damage
48.8713,-121.6491,disease,Disease damage to trees
40.3112,-94.7696,weather,Ice
46.9145,-111.0701,insects,Insect damage to trees
44.5936,-68.7143,insects,Insect damage to trees
27.8073,-82.1517,vegetation,Vegetation (competition/vines)
39.0478,-122.3812,animal,Domestic animal/livestock
39.2293,-122.6979,fire,Ground fire
45.1243,-92.3972,disease,Disease damage to trees
32.6343,-94.6392,fire,Ground fire
41.6420,-123.4034,fire,Ground fire
43.4169,-122.3843,disease,Disease damage to trees
27.1070,-82.2604,fire,Ground fire
41.6846,-123.9880,animal,Deer/ungulate
30.8356,-84.7587,fire,Ground fire
30.3020,-81.9192,fire,Fire damage (general)
42.7978,-91.4771,insects,Insect damage to trees
30.2372,-82.3566,fire,Ground fire
46.6133,-101.4529,insects,Insect damage to trees
25.9940,-80.9391,fire,Fire damage (general)
45.4023,-91.8853,weather,Wind/hurricane/tornado
39.2232,-86.5688,animal,Domestic animal/livestock
38.5856,-82.3709,animal,Domestic animal/livestock
44.9867,-118.7646,fire,Fire damage (general)
39.7095,-81.9563,vegetation,Vegetation (competition/vines)
31.1082,-90.5081,weather,Wind/hurricane/tornado
32.5032,-98.9609,fire,Fire damage (general)
38.8043,-93.8178,animal,Domestic animal/livestock
40.0424,-79.2857,insects,Insect damage
31.8058,-85.0988,other,Human-induced
34.4855,-81.4174,weather,Weather damage
36.9418,-119.0894,insects,Insect damage to trees
30.9555,-89.2429,fire,Fire damage (general)
46.2358,-92.8679,animal,Domestic animal/livestock
28.7090,-82.4371,fire,Ground fire
48.8034,-116.6545,disease,Disease damage to trees
34.2356,-82.7630,animal,Animal damage
33.5608,-108.5331,fire,Ground fire
40.5256,-80.7985,insects,Insect damage
44.4597,-120.1098,animal,Domestic animal/livestock
46.8152,-115.5575,disease,Disease damage to trees
41.1331,-106.2706,disease,Disease damage
39.7972,-121.3500,fire,Crown fire
30.3600,-90.5535,animal,Domestic animal/livestock
32.1257,-85.2917,disease,Disease damage to trees
45.1424,-69.4994,weather,Weather damage
34.7675,-83.3106,fire,Ground fire
38.4817,-86.2976,insects,Insect damage to trees
45.2680,-84.6528,disease,Disease damage
44.5162,-122.1376,animal,Deer/ungulate
36.0135,-78.6346,fire,Fire damage (general)
30.3636,-99.2542,disease,Disease damage to trees
44.4496,-74.6607,disease,Disease damage
43.5484,-121.3346,vegetation,Vegetation (competition/vines)
37.4979,-91.0659,weather,Flooding
41.4603,-106.1416,disease,Disease damage to trees
45.8774,-90.9360,vegetation,Vegetation (competition/vines)
36.0740,-84.4034,insects,Insect damage
36.9013,-88.9035,weather,Ice
47.2958,-94.1923,other,Human-induced
42.8676,-122.4619,disease,Disease damage
46.0468,-91.3050,insects,Insect damage
37.1572,-92.0703,animal,Domestic animal/livestock
44.6908,-88.6937,disease,Disease damage
48.7083,-118.9098,disease,Disease damage to trees
38.0261,-93.8840,weather,Flooding
37.6950,-93.4078,animal,Domestic animal/livestock
39.3086,-79.7958,weather,Ice
30.4007,-89.7529,weather,Wind/hurricane/tornado
42.3837,-78.5268,animal,Domestic animal/livestock
38.9208,-83.1305,insects,Insect damage
37.1552,-108.5810,insects,Insect damage
45.2639,-91.2951,animal,Beaver
43.7218,-121.3347,disease,Disease damage to trees
41.6136,-74.0070,vegetation,Vegetation (competition/vines)
