lat,lon,status
46.8664,-68.9498,Excluded
44.7629,-72.5821,Clean
43.4882,-74.0892,Clean
48.8535,-122.0979,Clean
46.8476,-94.0198,Clean
39.1705,-117.1163,Clean
30.7959,-90.7575,Clean
47.5049,-123.1526,Excluded
44.9230,-115.4828,Clean
45.7645,-87.2096,Clean
45.6414,-115.4580,Clean
34.6074,-78.1426,Excluded
35.2093,-108.0352,Clean
39.1219,-110.7114,Clean
31.3784,-88.0961,Clean
48.4286,-115.5758,Excluded
41.3242,-77.2588,Clean
32.1937,-88.5503,Clean
30.8901,-95.4006,Clean
38.3446,-94.1921,Clean
40.3621,-92.1198,Clean
37.2353,-108.4673,Clean
46.8399,-114.7077,Clean
39.5968,-80.7166,Clean
38.2430,-85.9215,Clean
33.5071,-95.4530,Clean
35.8574,-84.9393,Clean
37.3160,-82.2055,Excluded
29.0023,-82.5277,Clean
46.4391,-87.1966,Clean
40.5665,-110.7017,Clean
43.2695,-74.2392,Clean
37.1665,-121.7047,Clean
31.8859,-82.7456,Clean
38.1421,-91.0121,Clean
37.4224,-90.0217,Clean
45.2584,-83.6632,Clean
30.1502,-94.4410,Clean
44.7609,-71.5997,Clean
30.9398,-93.5643,Clean
46.1979,-69.9717,Excluded
47.0261,-121.6979,Clean
33.4730,-87.5522,Excluded
47.0144,-93.8933,Clean
46.7664,-115.8254,Clean
30.7562,-84.2768,Clean
32.2196,-84.1726,Clean
37.4743,-86.8520,Clean
31.7429,-86.4340,Clean
39.6870,-106.7986,Clean
44.7449,-74.0329,Clean
44.0157,-121.4910,Clean
43.8763,-70.6653,Clean
47.3811,-92.8931,Clean
46.0833,-95.7115,Clean
32.5750,-84.6412,Excluded
34.0448,-85.3328,Clean
47.6976,-90.9790,Clean
37.6638,-79.3587,Clean
39.5234,-112.2222,Clean
34.2870,-84.9265,Excluded
46.7639,-89.2512,Excluded
30.7753,-88.8871,Clean
30.9847,-94.2762,Excluded
46.5905,-88.9750,Clean
40.2943,-80.7535,Clean
31.9108,-92.5030,Excluded
46.2954,-85.1380,Clean
32.9694,-90.0790,Clean
38.8858,-82.4469,Clean
37.5405,-89.1997,Clean
43.2209,-122.6955,Excluded
42.0492,-84.2890,Clean
36.4975,-80.1973,Excluded
27.9989,-80.6191,Clean
32.9449,-105.6444,Clean
46.6570,-93.4084,Clean
34.9312,-86.0124,Excluded
44.9211,-118.3192,Clean
43.3649,-122.5597,Clean
42.9427,-122.6590,Clean
46.0013,-92.0092,Clean
34.9965,-87.9687,Excluded
46.9919,-95.6054,Clean
45.4353,-90.6887,Clean
30.7807,-87.2544,Clean
39.0265,-92.3793,Clean
34.5932,-81.2871,Excluded
47.0527,-121.8220,Clean
37.3644,-77.0517,Clean
28.0691,-99.6096,Clean
35.1100,-82.7040,Clean
36.6858,-77.2552,Clean
45.6525,-95.3957,Clean
45.9124,-69.8484,Clean
43.0347,-88.0771,Clean
