lat,lon,ba_live_total,shannon_h_ba,n_species_live
30.1912,-100.7539,22.0954,0.0000,1.0000
44.7366,-122.0325,24.4508,0.7641,3.0000
42.0666,-70.1489,120.0810,0.7478,3.0000
44.7233,-89.8071,105.8179,1.4265,7.0000
47.6536,-92.5329,106.3464,0.5927,3.0000
46.9768,-121.7394,270.3947,1.0500,3.0000
35.1025,-83.0292,134.9796,1.7359,7.0000
32.3996,-84.8332,21.6392,0.9120,3.0000
42.3866,-79.3520,96.2587,1.5767,7.0000
38.1146,-80.0770,159.6064,1.4488,8.0000
46.1146,-92.4461,26.3479,1.0969,4.0000
36.0860,-78.6099,29.5945,0.8789,5.0000
40.7755,-121.2749,130.5865,0.2561,2.0000
43.0916,-90.8034,98.6846,0.4692,2.0000
38.0000,-76.6463,76.5744,1.7831,9.0000
33.5426,-81.4510,185.5141,0.3605,5.0000
30.2360,-95.7523,59.8890,1.2501,6.0000
44.4626,-85.2272,152.2017,1.3265,6.0000
33.0316,-100.7625,1.1041,0.0000,1.0000
46.6921,-113.8793,118.7177,1.4376,5.0000
44.1322,-71.3650,100.8972,1.0954,4.0000
44.7938,-69.6051,78.3024,1.3128,4.0000
37.0320,-92.4061,30.7031,1.3914,6.0000
33.5149,-80.9569,16.4771,0.0000,1.0000
42.5080,-110.4944,45.5654,0.2131,3.0000
30.8869,-90.2947,51.9086,0.7746,4.0000
34.1458,-97.3350,83.1059,1.6694,7.0000
37.3618,-105.0606,109.8189,0.9367,4.0000
41.5283,-79.8497,99.3673,1.7406,8.0000
35.9930,-81.5964,165.8090,2.0709,11.0000
45.8255,-115.5836,128.1250,0.4947,3.0000
33.7144,-92.4520,134.3726,2.0984,11.0000
31.2836,-95.9114,94.6499,1.5589,6.0000
43.7471,-121.1250,16.1238,0.0000,1.0000
33.8692,-84.2734,43.2994,1.4636,6.0000
35.6452,-105.8842,95.2745,0.6835,3.0000
46.5069,-121.8255,105.7132,1.0741,4.0000
35.7185,-82.5190,146.9356,2.1202,10.0000
36.8511,-90.5877,89.9770,1.3858,8.0000
46.4891,-111.2111,129.2097,0.9036,3.0000
46.1822,-115.4475,72.4299,0.5217,2.0000
36.8044,-80.6290,39.6995,1.1568,4.0000
29.8207,-83.3398,23.8363,1.5725,6.0000
41.8854,-76.0460,136.9630,0.8149,4.0000
45.5750,-70.0417,108.9878,1.7492,10.0000
27.2031,-81.4998,19.6898,0.0000,1.0000
45.3337,-84.2232,180.7046,1.2740,4.0000
42.3145,-86.3042,66.3446,0.0000,1.0000
33.7497,-86.6705,126.8959,1.0930,5.0000
35.4351,-85.4271,39.8841,1.2750,8.0000
37.1424,-85.9794,143.8861,2.1136,12.0000
39.4507,-114.2697,207.9024,1.1563,4.0000
34.8272,-83.9021,134.2660,1.4985,8.0000
46.4073,-89.8343,40.2326,1.3852,5.0000
46.9979,-94.4406,72.9897,1.3712,8.0000
