state,component_type,tpamort_per_acre
AK,natural,7650.6409
AL,natural,194111.1078
AR,natural,172557.1868
AZ,natural,16429.7964
CA,natural,42126.2597
CO,natural,46562.3378
CT,natural,7373.8742
DE,natural,3736.5236
FL,natural,87385.0191
GA,natural,263726.1066
HI,natural,3490.1132
IA,natural,14981.2604
ID,natural,26745.2982
IL,natural,27659.6594
IN,natural,35033.5800
KS,natural,8830.2457
KY,natural,83896.5149
LA,natural,73881.0647
MA,natural,15056.0804
MD,natural,12859.7548
ME,natural,371180.1344
MI,natural,231706.3727
MN,natural,461532.2435
MO,natural,119392.7860
MS,natural,188482.1418
MT,natural,34500.7635
NC,natural,177356.9791
ND,natural,5347.8967
NE,natural,4457.8971
NH,natural,45205.5285
NJ,natural,14136.6453
NM,natural,17956.1673
NV,natural,4537.8377
NY,natural,101380.9500
OH,natural,49533.3610
OK,natural,40803.9145
OR,natural,56634.2222
PA,natural,102680.1756
RI,natural,3025.3751
SC,natural,155055.4407
SD,natural,5787.6943
TN,natural,122872.6017
TX,natural,154158.5555
UT,natural,35601.9038
VA,natural,185351.1231
VT,natural,37007.9382
WA,natural,49919.3557
WI,natural,288498.9947
WV,natural,53256.0165
WY,natural,3583.3339
