state,mean_shannon_h
AK,0.4241
AL,1.2736
AR,1.2631
AZ,0.2503
CA,0.4639
CO,0.2663
CT,0.8064
DE,0.6813
FL,0.5879
GA,1.0548
HI,0.5716
IA,0.7905
ID,0.3981
IL,1.0667
IN,1.1185
KS,0.7196
KY,1.5504
LA,0.9838
MA,0.8468
MD,0.7291
ME,1.1840
MI,0.8812
MN,0.8092
MO,1.4062
MS,1.0728
MT,0.3830
NC,1.1041
ND,0.6310
NE,0.3762
NH,1.0986
NJ,0.5322
NM,0.2310
NV,0.1557
NY,0.8516
OH,1.1649
OK,1.0793
OR,0.4282
PA,0.8130
RI,0.6012
SC,1.1096
SD,0.3230
TN,1.4012
TX,0.6597
UT,0.2159
VA,1.2409
VT,1.0015
WA,0.4154
WI,0.9327
WV,1.0295
WY,0.3733
