state,softwood,hardwood
AK,194967,22884
AL,60418,271389
AR,54815,266954
AZ,11715,25317
CA,58786,41569
CO,44205,130515
CT,1492,12133
DE,411,4536
FL,26507,129403
GA,85163,307257
HI,2,20471
IA,594,35814
ID,100782,8314
IL,598,81982
IN,940,120994
KS,2070,35304
KY,8095,298688
LA,19769,88829
MA,10721,23590
MD,1719,16330
ME,435694,425986
MI,209247,907319
MN,194354,725939
MO,22222,387575
MS,27440,182493
MT,146670,8663
NC,43014,239580
ND,529,31967
NE,2456,10662
NH,56481,74604
NJ,3635,16751
NM,14492,54569
NV,8369,5000
NY,48177,224229
OH,808,134929
OK,16925,98487
OR,211820,36958
PA,6532,223050
RI,2916,1618
SC,88066,200160
SD,14732,15176
TN,20455,277290
TX,54546,208510
UT,21431,97067
VA,30152,272040
VT,19525,69751
WA,189014,10268
WI,122578,732352
WV,9870,170472
WY,38603,7089
