state,sapling,intermediate,mature
AK,14.1304,32.4909,71.7069
AL,16.3726,36.5427,27.6644
AR,13.7663,35.1198,35.4607
AZ,4.7187,22.3479,39.1067
CA,7.0680,27.7877,84.2745
CO,11.4153,36.6105,43.5468
CT,8.3050,31.9837,58.3536
DE,13.4389,35.0727,56.4845
FL,11.7397,34.6518,27.9124
GA,14.2018,37.8830,33.2589
HI,24.0600,38.1815,36.2427
IA,6.9379,21.6015,37.3303
ID,8.3060,28.8117,52.9784
IL,8.1942,24.0433,45.3019
IN,8.5081,24.6438,49.6567
KS,5.7633,21.3990,26.8966
KY,11.6327,29.5937,41.2625
LA,13.9002,33.9282,37.4898
MA,9.2840,38.4709,61.2335
MD,11.4557,32.2838,60.9318
ME,32.3018,47.3143,25.2441
MI,16.7376,44.4067,32.6953
MN,19.5482,34.5587,19.3744
MO,11.6332,31.4758,33.1580
MS,14.8124,36.4957,36.8237
MT,11.6205,39.3950,33.5286
NC,16.4292,37.9436,41.3735
ND,8.5757,25.8371,18.3311
NE,4.8265,21.7324,31.5100
NH,21.6072,51.9055,49.2286
NJ,9.2516,35.5335,44.5261
NM,6.3856,25.4800,33.0174
NV,5.4582,28.2920,43.3237
NY,13.5654,39.0166,46.2044
OH,9.5460,27.5957,42.8476
OK,11.5822,28.6326,22.3622
OR,8.0517,29.9813,89.8929
PA,9.9863,35.1456,48.1720
RI,7.8637,35.4062,48.3042
SC,16.5861,39.0807,35.1070
SD,6.3795,28.7837,26.0825
TN,12.2872,32.8565,44.2658
TX,10.0341,24.4389,21.9815
UT,8.5833,26.0427,45.4565
VA,15.0426,39.6102,48.5337
VT,16.9437,45.5473,51.8391
WA,9.6160,38.3267,94.9761
WI,14.8796,36.4253,28.5824
WV,10.9100,34.5836,55.5396
WY,10.3060,36.9999,33.9837
