state,softwood,hardwood
AK,114.8433,30.9696
AL,43.4758,48.9503
AR,45.5870,55.6460
AZ,64.1449,26.0362
CA,107.3061,49.7817
CO,84.0388,36.3172
CT,31.8923,85.4337
DE,40.5103,87.5112
FL,45.2567,48.2322
GA,46.9855,52.7070
HI,135.8375,96.0758
IA,9.0689,64.6398
ID,89.6422,20.2934
IL,28.6977,74.1167
IN,20.2444,79.1650
KS,10.1775,52.0544
KY,17.4168,76.2119
LA,54.8055,49.9453
MA,50.3220,70.8306
MD,47.6132,87.0214
ME,64.2775,48.4102
MI,51.1701,63.3078
MN,43.5938,55.1472
MO,18.9723,68.2335
MS,54.0801,50.7858
MT,84.4448,22.1893
NC,43.9630,66.4727
ND,31.1803,49.3412
NE,33.6021,50.0794
NH,58.3184,72.1500
NJ,48.8096,66.4352
NM,66.2838,17.0905
NV,72.8458,34.5026
NY,42.4898,75.2275
OH,24.6669,76.6290
OK,32.6343,47.5749
OR,120.0598,31.6197
PA,28.2482,83.6646
RI,37.6141,71.7324
SC,51.4113,51.8984
SD,59.4215,28.0226
TN,26.7057,76.5910
TX,44.4039,33.8144
UT,74.6005,36.8393
VA,38.6104,80.1023
VT,45.6742,81.2826
WA,136.2589,28.9735
WI,39.8432,61.4339
WV,24.0938,93.6032
WY,79.5211,24.8012
