state,treatment_category,count
1,harvest,5542
1,other_silv,134
1,regeneration,3311
1,site_prep,1405
2,harvest,82
2,other_silv,8
2,regeneration,3
4,harvest,167
4,other_silv,19
4,regeneration,3
4,site_prep,9
5,harvest,3151
5,other_silv,346
5,regeneration,1031
5,site_prep,574
6,harvest,1116
6,other_silv,107
6,regeneration,141
6,site_prep,75
8,harvest,178
8,other_silv,31
8,regeneration,5
8,site_prep,6
9,harvest,49
9,other_silv,1
9,regeneration,5
9,site_prep,1
10,harvest,29
10,other_silv,2
10,regeneration,15
12,harvest,2022
12,other_silv,278
12,regeneration,957
12,site_prep,715
13,harvest,4650
13,other_silv,302
13,regeneration,2726
13,site_prep,1338
15,harvest,5
15,other_silv,11
15,regeneration,3
15,site_prep,1
16,harvest,347
16,other_silv,29
16,regeneration,49
16,site_prep,40
17,harvest,242
17,other_silv,48
17,regeneration,20
17,site_prep,3
18,harvest,414
18,other_silv,81
18,regeneration,35
18,site_prep,4
19,harvest,121
19,other_silv,30
19,regeneration,8
20,harvest,45
20,other_silv,10
20,regeneration,1
21,harvest,1049
21,other_silv,45
21,regeneration,283
21,site_prep,8
22,harvest,2878
22,other_silv,81
22,regeneration,1212
22,site_prep,615
23,harvest,2285
23,other_silv,127
23,regeneration,1099
23,site_prep,25
24,harvest,77
24,other_silv,7
24,regeneration,22
24,site_prep,1
25,harvest,88
25,other_silv,2
25,regeneration,9
26,harvest,2203
26,other_silv,33
26,regeneration,426
26,site_prep,55
27,harvest,1794
27,other_silv,128
27,regeneration,787
27,site_prep,80
28,harvest,3538
28,other_silv,407
28,regeneration,1460
28,site_prep,556
29,harvest,1116
29,other_silv,113
29,regeneration,45
29,site_prep,10
30,harvest,332
30,other_silv,20
30,regeneration,13
30,site_prep,17
31,harvest,67
31,other_silv,6
31,regeneration,3
31,site_prep,1
32,harvest,19
32,other_silv,6
33,harvest,339
33,other_silv,3
33,regeneration,76
33,site_prep,1
34,harvest,35
34,other_silv,27
34,regeneration,1
35,harvest,116
35,other_silv,35
35,regeneration,9
35,site_prep,7
36,harvest,936
36,other_silv,33
36,regeneration,35
36,site_prep,5
37,harvest,3059
37,other_silv,216
37,regeneration,1865
37,site_prep,582
38,harvest,3
38,regeneration,5
39,harvest,534
39,other_silv,34
39,regeneration,128
39,site_prep,9
40,harvest,550
40,other_silv,45
40,regeneration,202
40,site_prep,134
41,harvest,2675
41,other_silv,181
41,regeneration,575
41,site_prep,444
42,harvest,1105
42,other_silv,119
42,regeneration,232
42,site_prep,10
44,harvest,15
44,regeneration,5
45,harvest,3014
45,other_silv,143
45,regeneration,1423
45,site_prep,579
46,harvest,151
46,other_silv,24
46,regeneration,7
46,site_prep,3
47,harvest,1091
47,other_silv,55
47,regeneration,417
47,site_prep,95
48,harvest,2794
48,other_silv,799
48,regeneration,998
48,site_prep,606
49,harvest,68
49,other_silv,24
49,regeneration,2
49,site_prep,2
50,harvest,226
50,other_silv,5
50,regeneration,45
51,harvest,1502
51,other_silv,94
51,regeneration,751
51,site_prep,238
53,harvest,1432
53,other_silv,71
53,regeneration,341
53,site_prep,108
54,harvest,430
54,other_silv,23
54,regeneration,30
54,site_prep,1
55,harvest,3317
55,other_silv,108
55,regeneration,728
55,site_prep,61
56,harvest,394
56,other_silv,4
56,regeneration,2
56,site_prep,2
