treatment_year,treatment_category,count
1908,harvest,1
1942,harvest,2
1945,harvest,1
1949,harvest,1
1950,harvest,1
1955,harvest,1
1957,harvest,2
1958,harvest,2
1959,harvest,1
1965,harvest,2
1968,harvest,2
1970,harvest,8
1975,harvest,7
1977,harvest,1
1978,harvest,3
1979,harvest,3
1980,harvest,14
1981,harvest,2
1982,harvest,2
1983,harvest,1
1984,harvest,1
1985,harvest,14
1986,harvest,4
1986,regeneration,1
1986,site_prep,1
1987,harvest,3
1988,harvest,7
1989,harvest,5
1990,harvest,18
1991,harvest,31
1991,regeneration,15
1991,site_prep,9
1992,harvest,51
1992,other_silv,1
1992,regeneration,38
1992,site_prep,18
1993,harvest,147
1993,other_silv,2
1993,regeneration,63
1993,site_prep,46
1994,harvest,247
1994,other_silv,5
1994,regeneration,133
1994,site_prep,87
1995,harvest,442
1995,other_silv,3
1995,regeneration,138
1995,site_prep,104
1996,harvest,643
1996,other_silv,10
1996,regeneration,171
1996,site_prep,128
1997,harvest,840
1997,other_silv,14
1997,regeneration,154
1997,site_prep,138
1998,harvest,1353
1998,other_silv,37
1998,regeneration,253
1998,site_prep,197
1999,harvest,1666
1999,other_silv,62
1999,regeneration,344
1999,site_prep,238
2000,harvest,2130
2000,other_silv,116
2000,regeneration,443
2000,site_prep,317
2001,harvest,1989
2001,other_silv,109
2001,regeneration,433
2001,site_prep,293
2002,harvest,2353
2002,other_silv,121
2002,regeneration,466
2002,site_prep,310
2003,harvest,2232
2003,other_silv,139
2003,regeneration,457
2003,site_prep,321
2004,harvest,2296
2004,other_silv,168
2004,regeneration,494
2004,site_prep,276
2005,harvest,2411
2005,other_silv,212
2005,regeneration,466
2005,site_prep,285
2006,harvest,2373
2006,other_silv,194
2006,regeneration,592
2006,site_prep,293
2007,harvest,2258
2007,other_silv,230
2007,regeneration,596
2007,site_prep,298
2008,harvest,2273
2008,other_silv,274
2008,regeneration,638
2008,site_prep,278
2009,harvest,2216
2009,other_silv,281
2009,regeneration,608
2009,site_prep,244
2010,harvest,2324
2010,other_silv,266
2010,regeneration,613
2010,site_prep,289
2011,harvest,1934
2011,other_silv,209
2011,regeneration,594
2011,site_prep,222
2012,harvest,2126
2012,other_silv,197
2012,regeneration,623
2012,site_prep,235
2013,harvest,2061
2013,other_silv,189
2013,regeneration,644
2013,site_prep,262
2014,harvest,2047
2014,other_silv,164
2014,regeneration,598
2014,site_prep,297
2015,harvest,2137
2015,other_silv,167
2015,regeneration,665
2015,site_prep,292
2016,harvest,1965
2016,other_silv,148
2016,regeneration,588
2016,site_prep,249
2017,harvest,1797
2017,other_silv,125
2017,regeneration,579
2017,site_prep,234
2018,harvest,1783
2018,other_silv,133
2018,regeneration,521
2018,site_prep,247
2019,harvest,1581
2019,other_silv,113
2019,regeneration,506
2019,site_prep,257
2020,harvest,1310
2020,other_silv,134
2020,regeneration,398
2020,site_prep,204
2021,harvest,1080
2021,other_silv,84
2021,regeneration,334
2021,site_prep,129
2022,harvest,749
2022,other_silv,74
2022,regeneration,199
2022,site_prep,118
2023,harvest,449
2023,other_silv,52
2023,regeneration,111
2023,site_prep,89
2024,harvest,168
2024,other_silv,21
2024,regeneration,47
2024,site_prep,28
