"INVYR","ba_mean","ba_median","n_plots"
2000,93.4147992884428,91.797386616,14192
2001,95.6652628819126,89.9642427056698,11913
2002,98.4408161729062,93.1860454402296,15972
2003,98.0251423643357,92.5333504614005,14588
2004,94.8231663117652,88.9556587244456,15355
2005,97.0865346658084,91.3789465007418,15847
2006,96.2052953478579,91.5118649714563,17893
2007,96.8039632862019,91.4080609858385,16219
2008,95.5000351612782,89.4733239256211,14364
2009,98.013710177956,92.6926290817637,16082
2010,97.6398797766721,92.3708659306968,16225
2011,97.7842650629588,92.8355911403281,16346
2012,98.1874812164584,92.9515496673157,16157
2013,100.701850372755,95.1978956037836,15695
2014,99.8262313654007,94.5316665235728,14467
2015,101.579057071269,95.1456198946592,14277
2016,100.049209674054,94.649062577157,14998
2017,102.309713690004,97.518985684726,14569
2018,104.591006091804,98.5174567630506,14301
2019,105.220034889968,98.8693054048312,14877
2020,106.199817352912,100.869439387302,14271
2021,106.275282197087,100.614963530488,14481
2022,104.036216921472,99.7213627936073,13204
2023,103.863166400907,101.798828973849,10151
2024,107.107634337398,105.415076447699,8566
