"agent_label","agent_category","total_ba","n_plots"
NA,NA,3436923.07542616,157587
"Stem decay","disease",2705249.56871043,141332
"Root/butt diseases","disease",293465.28377062,24272
"Wild animals","animal",170800.407535425,22738
"Fusiform rust","canker/rust",158983.943991967,16818
"Other damages","other",135607.496994356,16181
"Cankers (non-rust)","disease",132035.611621361,17658
"Fire","fire",131763.285004137,7446
"Boring insects","insects",109501.04279425,11207
"Beech bark disease","canker/rust",83455.4802683426,6377
"Gypsy moth","defoliators",69739.9333897769,2887
"Unknown","unknown",68239.3979501188,3830
"Bark beetles","insects",58009.5227323455,6252
"Western spruce budworm","defoliators",57627.3471284907,1843
"Defoliators","insects",54750.6511666918,3020
"Decline complexes/dieback/wilts","disease",36156.572436625,3801
"Stem rusts","disease",28609.7249649884,3733
"Abiotic damage","abiotic",24671.7553992122,4162
"General insects","insects",23860.1815708728,3166
"Human activities","human",23615.8100632529,3461
