"SURVEY_YEAR","total_acres","n_obs","tmax_c","tmin_c","precip_mm"
1997,320820.8,15165,25.1999801692226,-11.4483474352195,522.788843594148
1998,353611.1,15771,26.5686543367347,-10.695306122449,587.335945843819
1999,424881.5,17875,25.2850827476763,-11.3089322149173,609.771966700406
2000,438407,14415,25.6992220353238,-10.2677600224278,535.403444901216
2001,838032,22858,26.90712808059,-13.6533054506206,486.04757123004
2002,1390779.5,29235,26.549977262392,-12.6904606989191,532.623523383969
2003,1628381.4,28264,28.054369900595,-11.2865108490398,527.340080009572
2004,2488794.9,35617,24.6134059821783,-12.1691355922584,615.343316738536
2005,2999329.43,41445,25.6695552744258,-11.4153975282211,550.303573014623
2006,2811791.3,40875,26.6593382952944,-12.415776068841,634.246041526061
2007,4070514.3,39588,26.7087913495785,-12.3019832423707,595.201110959527
2008,6259403.9,53754,25.0196755139904,-12.498472227481,567.820569894317
2009,9161566.82,75409,24.5895551832234,-12.8184493568263,568.781007740437
2010,7177828.15,82282,23.8684415745685,-14.6041611821681,601.309848842458
2011,3946352.61,64081,25.9859442724458,-13.3095975232198,703.640768813756
2012,2560425.91,168355,29.3883904303934,-10.5328646097787,430.514047850296
2013,1674849.21,206140,26.8247031017478,-11.2432479355724,543.802498732126
2014,1780776.58,145199,25.790923082232,-14.6966948479934,672.11890307993
2015,1452379.61,121083,26.1270314610279,-9.8047957974629,673.521482888883
2016,1573532.57,53482,27.3705119313176,-8.36334939171837,701.606016241954
2017,423122.43,8753,27.3443494337878,-10.7934134504275,1088.24064244134
2018,303902.59,5047,26.6878373015873,-10.197003968254,727.907903808056
2019,304161.37,4857,25.6285980534272,-12.1080347898116,985.04691099855
2020,76335.84,2231,24.0981098109811,-7.55040504050405,902.552872956852
2021,180082.95,2710,27.2117979645684,-10.2871843196381,638.826610716152
2022,275636.37,3474,26.7565331774335,-10.1123355743935,784.823812771668
2023,508282.08,4881,25.8524828589238,-11.8384375649283,780.072586344082
2024,392885.35,6614,25.7898819561551,-9.19842097194542,743.425368122252
