"SURVEY_YEAR","total_acres","n_obs","tmax_c","tmin_c","precip_mm"
1997,320820.8,15165,25.172131147541,-11.2755156002115,521.047117903965
1998,353611.1,15771,26.4660076530612,-10.5271683673469,587.229402830841
1999,424881.5,17875,25.1463953751984,-11.1323962820222,608.261400016582
2000,438407,14415,25.6729044014578,-10.3561115783572,539.638344493933
2001,838032,22858,26.7008904479223,-13.3435420039575,488.791838529755
2002,1390779.5,29235,26.1502081365656,-12.3251827753874,536.904405863952
2003,1628381.4,28264,27.5423451027898,-11.0270068051448,532.90444938136
2004,2488794.9,35617,24.1435949826891,-11.8887564560985,618.45973439559
2005,2999329.43,41445,25.3789898793305,-11.1780605293889,553.020708745409
2006,2811791.3,40875,26.2991765782251,-12.0949284142331,637.199948048733
2007,4070514.3,39588,26.3479129833192,-12.4362108284009,601.293930630285
2008,6259403.9,53754,24.6387868691076,-12.437374578774,572.114963460108
2009,9161566.82,75409,24.1404713004,-12.7660793427738,574.150126506859
2010,7177828.15,82282,23.5415497330188,-14.4030547622004,605.945240838764
2011,3946352.61,64081,25.6287370008732,-12.8440581090736,698.670497312092
2012,2560425.91,168355,29.0114572444073,-9.48730922015472,436.476316373283
2013,1674849.21,206140,26.3931263556165,-10.0936214291967,562.091651431
2014,1780776.58,145199,25.5287553055661,-14.1506401187066,650.389070510743
2015,1452379.61,121083,25.5709219564335,-9.35686765156725,658.788955228722
2016,1573532.57,53482,27.0176579751439,-7.44589199017752,702.610956450556
2017,423122.43,8753,27.7364224636006,-11.004275479547,1074.94636780973
2018,303902.59,5047,26.4025793650794,-10.1734126984127,733.880557415896
2019,304161.37,4857,25.2758335059018,-12.3787533650859,991.854691703941
2020,76335.84,2231,24.6363636363636,-8.16111611161116,872.342958040224
2021,180082.95,2710,26.5261967583867,-10.3648699585375,613.347768042475
2022,275636.37,3474,26.7997661502485,-11.2101724641918,777.561681454833
2023,508282.08,4881,25.7340536048203,-12.1813837523374,760.04498460307
2024,392885.35,6614,26.0994940978078,-9.18887015177066,826.714849423468
